,Company,Jenis,Menu,Calories
0,McDonald's,Burger,Egg and Cheese Muffin,295
1,McDonald's,Burger,Chicken Muffin,390
2,McDonald's,Burger,Sausage McMuffin,281.44.00
3,McDonald's,Burger,Egg McMuffin,283.46.00
4,McDonald's,Burger,Chicken Muffin with Egg,356
5,McDonald's,Burger,Sausage McMuffin with Egg,290.42.00
6,McDonald's,Burger,Big Mac®,540
7,McDonald's,Burger,Triple Cheeseburger,520
8,McDonald's,Burger,Double Cheeseburger,430
9,McDonald's,Burger,Cheeseburger Deluxe,340
10,McDonald's,Burger,Cheeseburger with Egg,390
11,McDonald's,Burger,Cheeseburger,307
12,McDonald's,Burger,Beef Burger,258
13,McDonald's,Fried chicken,Ayam Krispy McDonald's,223/100 gr
14,McDonald's,Fried chicken,Ayam Spicy McDonald's,248.76
15,McDonald's,Burger,Chicken Burger,292
16,McDonald's,Burger,McSpicy™,237.4
17,McDonald's,Burger,McChicken,350
18,McDonald's,Burger,Fish Fillet Burger,390
19,McDonald's,French fries,French Fries,373/510
20,KFC,Burger,Original Recipe Chicken Drumstick,160
21,KFC,Burger,Original Recipe Chicken Thigh,287
22,KFC,Burger,Original Recipe Chicken Rib,275
23,KFC,Burger,Original Recipe Chicken Breast,342
24,KFC,Burger,Original Recipe Chicken Wing,188
25,KFC,Burger,Hot & Spicy Chicken Drumstick,179
26,KFC,Burger,Hot & Spicy Chicken Thigh,313
27,KFC,Burger,Hot & Spicy Chicken Rib,328
28,KFC,Burger,Hot & Spicy Chicken Breast,353
29,KFC,Burger,Hot & Spicy Chicken Wing,204
30,KFC,Burger,Crispy Strips,123
31,KFC,Burger,Crispy Burger,285
32,KFC,Burger,OR Burger Single,382
33,KFC,French fries,Fun Fries,190
34,KFC,Burger,Colonel Burger,489
35,KFC,French fries,French Fries Reguler,257
36,KFC,French fries,French Fries Large,380
37,KFC,Burger,Fish Burger,480
38,Pizza Hut,Pizza,1 slice of large original pan BEEF BBQ,410
39,Pizza Hut,Pizza,1 slice of medium original pan BEEF BBQ,280
40,Pizza Hut,Pizza,1 slice of personal original pan BEEF BBQ,170
41,Pizza Hut,Pizza,1 slice of Meat Feast - Sharing Pan (13-Inch) ,296
42,Pizza Hut,Pizza,Thin Pizza Margherita,434
43,Pizza Hut,Pizza,Pan Pizza Margherita,434
44,Pizza Hut,Pizza,1 slice of Pepperoni Feast - Individual Stuffed Crust (11-Inch),241
45,Pizza Hut,Pizza,1 slice of Chicken Supreme - Sharing Pan (13-Inch),268
46,Pizza Hut,Pizza,1 slice of Margherita - Sharing Thin (14-Inch),192
47,Pizza Hut,Pizza,1 slice of Veggie - Individual Pan (9-Inch),162
48,Pizza Hut,Pizza,1 slice of Margherita - Sharing Stuffed Crust (14-Inch),285
49,Pizza Hut,Pizza,1 slice of Hawaiian - Sharing Pan (13-Inch) ,255
50,Pizza Hut,Pizza,1 slice of Meat Feast - Individual Thin (11-Inch),174
51,Pizza Hut,Pizza,1 slice of Veggie - Sharing Pan (13-Inch),251
52,Pizza Hut,Pizza,1 slice of Supreme - Cheesy Bites (14-Inch),317
53,Pizza Hut,Pizza,1 slice of Margherita - Individual Pan (9-Inch),171
54,Pizza Hut,Pizza,1 slice of Meat Feast - Individual Pan (9-Inch),190
55,Pizza Hut,Pizza,1 slice of Supreme - Sharing Pan (13-Inch),294
56,Pizza Hut,Pizza,1 slice of Margherita - Individual Thin (11-Inch),155
57,Pizza Hut,Pizza,1 slice of Veggie Pepperphoni Feast - Individual Stuffed Crust (11-Inch),221
58,Pizza Hut,Pizza,1 slice of Veggie - Individual Thin (11-Inch),146
59,Pizza Hut,Pizza,1 slice of Hot 'N' Spicy Chicken - Sharing Stuffed Crust (14-Inch),315
60,Pizza Hut,Pizza,1 slice of BBQ Americano - Sharing Stuffed Crust (14-Inch),320
61,Pizza Hut,Pizza,1 slice of Meat Feast Hot - Individual Pan (9-Inch),211
62,Pizza Hut,Pizza,1 slice of Pepperoni Feast - Sharing Thin (14-Inch) ,208
63,Pizza Hut,Pizza,1 slice of Chicken Supreme - Individual Pan (9-Inch),172
64,Pizza Hut,Pizza,1 slice of Pepperoni Feast - Individual Thin (11-Inch),165
65,Pizza Hut,Pizza,1 slice of SUPER SUPREME,170
66,Pizza Hut,Pizza,1 slice of MEAT LOVERS,210
67,Pizza Hut,Pizza,1 slice of PEPPERONI,320
68,Pizza Hut,Pizza,1 slice of TUNA MELT,250
69,Pizza Hut,Pizza,1 slice of CHEESE LOVERS,296
70,Pizza Hut,Fried chicken,1 wing WINGSTREET,80
71,Domino's Pizza,Fried chicken,1 pcs CHICKEN WINGS ,74.8
72,Domino's Pizza,Pizza,small EXTRAVAGANZZA,118
73,Domino's Pizza,Pizza,1 slice of medium EXTRAVAGANZZA,244
74,Domino's Pizza,Pizza,1 slice of larga EXTRAVAGANZZA,380
75,Domino's Pizza,Pizza,1 slice of MEATZZA,217
76,Domino's Pizza,Pizza,1 slice of VEGGIE MANIA,190
77,Domino's Pizza,Pizza,1 slice of CHICKEN DELIGHT,118
78,Domino's Pizza,Pizza,1 slice of DOUBLE BEEF BURGER,141
79,Domino's Pizza,Pizza,1 slice of BEEF PEPPERONI FEAST,370
80,Domino's Pizza,Pizza,1 slice of TUNA DELIGHT,184
81,Domino's Pizza,Pizza,"Deep Dish Pizza (6"")",598
82,Domino's Pizza,Pizza,Lg Deep Dish Cheese Pizza,455
83,Domino's Pizza,Pizza,Lg Hand Tossed Cheese Pizza,374
84,Domino's Pizza,Pizza,Lg Thin Crust Pizza,273
