"Activity, Exercise or Sport (1 hour)",Intensity Description,Duration (minutes),Calories per kg
"Cycling, mountain bike, bmx",,60,1.750729719
"Cycling, <10 mph, leisure bicycling",,60,0.82323563
"Cycling, >20 mph, racing",,60,3.294973528
"Cycling, 10-11.9 mph, light",,60,1.234853445
"Cycling, 12-13.9 mph, moderate",,60,1.647825266
"Cycling, 14-15.9 mph, vigorous",,60,2.059443081
"Cycling, 16-19 mph, very fast, racing",,60,2.471060896
Unicycling,,60,1.02972154
"Stationary cycling, very light","Refers to very low physical effort, such as stationary cycling at a very slow pace or without additional resistance.",60,0.617426722
"Stationary cycling, light","Refers to a higher level of physical effort compared to very light intensity, but still relatively light. For example, moderate-paced cycling or using light resistance.",60,1.132625994
"Stationary cycling, moderate","Refers to a moderate level of physical effort, such as cycling at a fairly high speed or using heavier resistance.",60,1.441339355
"Stationary cycling, vigorous","Refers to a significant level of physical effort, such as cycling at a high speed or using substantial resistance.",60,2.162347534
"Stationary cycling, very vigorous","Refers to a very high level of physical effort, such as cycling at a very high speed or using heavy resistance.",60,2.574642352
"Calisthenics, vigorous, pushups, situps…",Refers to high-intensity calisthenics exercises involving movements like push-ups and sit-ups.,60,1.647825266
"Calisthenics, light","Involves lighter or lower-intensity calisthenic movements compared to higher levels. For example, squats, lunges, or other bodyweight movements performed at a lower intensity.",60,0.721008179
"Circuit training, minimal rest",Involves a series of different exercises performed in succession with minimal rest between each exercise.,60,1.647825266
"Weight lifting, body building, vigorous",Refers to intense weightlifting workouts aimed at bodybuilding and muscle development. These workouts involve heavy weights and high training volume to stimulate muscle growth.,60,1.234853445
"Weight lifting, light workout","Refers to the use of lighter weights and lower training volume. These workouts may aim to improve muscle endurance, enhance posture, or maintain overall fitness.",60,0.617426722
Health club exercise,,60,1.132625994
Stair machine,,60,1.85295717
"Rowing machine, light",Refers to low-intensity rowing on a rowing machine. This intensity may involve slower movements or lighter resistance during the exercise.,60,0.721008179
"Rowing machine, moderate",Refers to moderate-intensity rowing on a rowing machine. This intensity may involve faster movements or moderate resistance during the exercise.,60,1.441339355
"Rowing machine, vigorous","Refers to vigorous-intensity rowing on a rowing machine. This intensity may involve faster movements, greater power, or more intense exercise.",60,1.750729719
"Rowing machine, very vigorous","Refers to very vigorous-intensity rowing on a rowing machine. This intensity may involve very fast movements, substantial power, or highly intense exercise.",60,2.471060896
Ski machine,,60,1.441339355
