,Company,Menu
0,McDonald's,Egg and Cheese Muffin
1,McDonald's,Chicken Muffin
2,McDonald's,Sausage McMuffin
3,McDonald's,Egg McMuffin
4,McDonald's,Chicken Muffin with Egg
5,McDonald's,Sausage McMuffin with Egg
6,McDonald's,Sausage Wrap
7,McDonald's,Big Breakfast
8,McDonald's,Breakfast Wrap
11,McDonald's,Hashbrown
12,McDonald's,Nasi Uduk McD
13,McDonald's,Bubur Ayam McD
14,McDonald's,Big Mac®
15,McDonald's,Triple Cheeseburger
16,McDonald's,Double Cheeseburger
17,McDonald's,Cheeseburger Deluxe
18,McDonald's,Cheeseburger with Egg
19,McDonald's,Cheeseburger
20,McDonald's,Beef Burger Deluxe
21,McDonald's,Beef Burger
22,McDonald's,PaNas Spesial Ayam McD Gulai
23,McDonald's,PaNas 1 Ayam McD Gulai
24,McDonald's,PaNas 2 Ayam McD Gulai
25,McDonald's,PaNas 2 with French Fries Ayam McD Gulai
26,McDonald's,PaMer 5 Ayam McD Gulai
27,McDonald's,PaMer 7 Ayam McD Gulai
28,McDonald's,Korean Soy Garlic Wings - A la Carte 6pcs
29,McDonald's,Korean Soy Garlic Wings - A la Carte 4pcs
30,McDonald's,PaNas Wings Korean Soy Garlic
31,McDonald's,PaNas HeBat Korean Soy Garlic Wings
32,McDonald's,Ayam Krispy McDonald's
33,McDonald's,Ayam Spicy McDonald's
34,McDonald's,PaNas 1
35,McDonald's,PaNas 2 with Fries
37,McDonald's,PaNas Spesial
38,McDonald's,PaMer 5
39,McDonald's,PaMer 7
42,McDonald's,Chicken Burger Deluxe
43,McDonald's,Chicken Burger
44,McDonald's,McSpicy™
45,McDonald's,McChicken
46,McDonald's,McNuggets
47,McDonald's,Chicken Snack Wrap
48,McDonald's,Spicy Chicken Bites
49,McDonald's,Chicken Fingers
50,McDonald's,Fish Snack Wrap
51,McDonald's,Fish Fillet Burger
77,McDonald's,Double Choco Pie
78,McDonald's,Double Choco Pie A la Mode Chocolate
79,McDonald's,Double Choco Pie A la Mode Strawberry
80,McDonald's,Hershey's McFlurry with Choco Balls
81,McDonald's,Hershey's McFlurry with Choco Crumbs
82,McDonald's,Apple Pie
83,McDonald's,McFlurry feat. Oreo
84,McDonald's,McFlurry Choco
85,McDonald's,Strawberry Sundae
86,McDonald's,Chocolate Sundae
88,McDonald's,Choco Top
89,McDonald's,Happy Meal Egg & Cheese Muffin
90,McDonald's,Happy Meal 4 pcs McNuggets
91,McDonald's,Happy Meal Chicken Burger
92,McDonald's,Happy Meal Ayam McD
93,McDonald's,Happy Meal Beef Burger
110,McDonald's,Affogato
115,McDonald's,Tasseo Lemon Grass
116,McDonald's,Tasseo Java Jasmine
117,McDonald's,Tasseo Pure Green
118,McDonald's,Espresso
119,McDonald's,Macchiato
120,McDonald's,Long Black Coffee
121,McDonald's,Flat White
123,McDonald's,Cappuccino
127,McDonald's,Vienna
141,McDonald's,Cheese Stick
142,McDonald's,Butter Croissant
143,McDonald's,Banana Muffin
144,McDonald's,Choco Chip Muffin
145,McDonald's,Cheese Croissant
146,McDonald's,Tuna Puff Pastry
147,McDonald's,Chicken Curry Puff
148,McDonald's,Choco Lover
149,McDonald's,Smoked Beef and Cheese Panini
150,McDonald's,Chicken Blackpepper Focaccia
151,McDonald's,Klepon Cake
152,McDonald's,Lemon Cake
154,McDonald's,Menu Receh 1+1
155,McDonald's,French Fries
156,McDonald's,Sweet Corn
157,KFC,Super 9 Plus
158,KFC,Jagoan Hemat 5+3
159,KFC,Jagoan Hemat 7+5
162,KFC,Burger Party 1
163,KFC,Burger Party 2
164,KFC,Burger Party 3
165,KFC,Super 7 Plus
166,KFC,1Pc Sweet Spicy K-Chicken
171,KFC,1 Pc Rendang Chicken
176,KFC,Don Series With Egg
177,KFC,Black Sesame Sweet Balls 2 Pcs
178,KFC,Black Sesame Sweet Balls 4 Pcs
