,Company,Jenis,Menu,Calories,Carbo,Protein,Fat
0,McDonald's,Burger,Egg and Cheese Muffin,,,,
1,McDonald's,Burger,Chicken Muffin,,,,
2,McDonald's,Burger,Sausage McMuffin,281.44.00,28.62,16.25,"472,916,667"
3,McDonald's,Burger,Egg McMuffin,283.46.00,28.12.00,14.05,12.31
4,McDonald's,Burger,Chicken Muffin with Egg,,,,
5,McDonald's,Burger,Sausage McMuffin with Egg,290.42.00,28.87,22.46,"690,277,778"
6,McDonald's,Wrap,Sausage Wrap,,,,
11,McDonald's,Snack,Hashbrown,140.29.00,"66,875","10,625",7.32
12,McDonald's,Rice bowl,Nasi Uduk McD,,,,
13,McDonald's,Rice bowl,Bubur Ayam McD,,,,
14,McDonald's,Burger,Big Mac®,540,46,25,28
15,McDonald's,Burger,Triple Cheeseburger,,,,
16,McDonald's,Burger,Double Cheeseburger,430,35,25,21
17,McDonald's,Burger,Cheeseburger Deluxe,,,,
18,McDonald's,Burger,Cheeseburger with Egg,,,,
19,McDonald's,Burger,Cheeseburger,307,32.4,15.7,11.8
20,McDonald's,Burger,Beef Burger Deluxe,,,,
21,McDonald's,Burger,Beef Burger,,,,
22,McDonald's,Fried chicken,Ayam McD Gulai,,,,
28,McDonald's,Fried chicken,Korean Soy Garlic Wings ,,,,
32,McDonald's,Fried chicken,Ayam Krispy McDonald's,,,,
33,McDonald's,Fried chicken,Ayam Spicy McDonald's,,,,
42,McDonald's,Burger,Chicken Burger Deluxe,,,,
43,McDonald's,Burger,Chicken Burger,,,,
44,McDonald's,Burger,McSpicy™,,,,
45,McDonald's,Burger,McChicken,,,,
46,McDonald's,Snack,McNuggets,,,,
47,McDonald's,Wrap,Chicken Snack Wrap,,,,
48,McDonald's,Snack,Spicy Chicken Bites,,,,
49,McDonald's,Snack,Chicken Fingers,,,,
50,McDonald's,Wrap,Fish Snack Wrap,,,,
51,McDonald's,Burger,Fish Fillet Burger,,,,
77,McDonald's,Pie,Double Choco Pie,,,,
78,McDonald's,Ice cream,Double Choco Pie A la Mode Chocolate,,,,
79,McDonald's,Ice cream,Double Choco Pie A la Mode Strawberry,,,,
80,McDonald's,Ice cream,Hershey's McFlurry with Choco Balls,,,,
81,McDonald's,Ice cream,Hershey's McFlurry with Choco Crumbs,,,,
82,McDonald's,Pie,Apple Pie,,,,
83,McDonald's,Ice cream,McFlurry feat. Oreo,,,,
84,McDonald's,Ice cream,McFlurry Choco,,,,
85,McDonald's,Ice cream,Strawberry Sundae,311,,,
86,McDonald's,Ice cream,Chocolate Sundae,354,,,
88,McDonald's,Ice cream,Choco Top,,,,
110,McDonald's,Ice cream,Affogato,,,,
141,McDonald's,Pastry,Cheese Stick,,,,
142,McDonald's,Pastry,Butter Croissant,,,,
143,McDonald's,Cupcake,Banana Muffin,,,,
144,McDonald's,Cupcake,Choco Chip Muffin,,,,
145,McDonald's,Pastry,Cheese Croissant,,,,
146,McDonald's,Pastry,Tuna Puff Pastry,,,,
147,McDonald's,Pastry,Chicken Curry Puff,,,,
148,McDonald's,Pastry,Choco Lover,,,,
149,McDonald's,Pastry,Smoked Beef and Cheese Panini,,,,
150,McDonald's,Pastry,Chicken Blackpepper Focaccia,,,,
151,McDonald's,Cake,Klepon Cake,,,,
152,McDonald's,Cake,Lemon Cake,,,,
155,McDonald's,French fries,French Fries,,,,
166,KFC,Fried chicken,Sweet Spicy K-Chicken,,,,
171,KFC,Fried chicken,Rendang Chicken,,,,
176,KFC,Rice bowl,Don Series With Egg,,,,
177,KFC,Snack,Black Sesame Sweet Balls ,,,,
200,KFC,Fried chicken,Chicken,,,,
202,KFC,snack,Crispy Strips,,,,
203,KFC,Fried chicken,KFC Winger,,,,
217,KFC,Rice bowl,Yakiniku Don,,,,
218,KFC,Burger,Crispy Burger,,,,
219,KFC,Rice bowl,Oriental Don,,,,
223,KFC,Rice bowl,Beijing Don,,,,
224,KFC,Rice bowl,Spicy Chili Don Putih,,,,
226,KFC,Soup,Cream Soup,,,,
229,KFC,Snack,Alacarte Egg,,,,
230,KFC,Pasta,Spaghetti deluxe,,,,
233,KFC,Pudding,Pudding,,,,
235,KFC,Burger,OR Burger Single,,,,
236,KFC,French fries,Fun Fries,,,,
237,KFC,Burger,OR Burger Double,,,,
238,KFC,Burger,Colonel Burger,,,,
239,KFC,Wrap,Twisty,,,,
240,KFC,French fries,French Fries Reguler,,,,
241,KFC,French fries,French Fries Large,,,,
242,KFC,snack,Perkedel,,,,
