,Company,Menu
1,McDonald's,Egg and Cheese Muffin
2,McDonald's,Chicken Muffin
3,McDonald's,Sausage McMuffin
4,McDonald's,Egg McMuffin
5,McDonald's,Chicken Muffin with Egg
6,McDonald's,Sausage McMuffin with Egg
7,McDonald's,Sausage Wrap
8,McDonald's,Big Breakfast
9,McDonald's,Breakfast Wrap
10,McDonald's,Hotcakes 
11,McDonald's,Hashbrown
12,McDonald's,Nasi Uduk McD
13,McDonald's,Bubur Ayam McD
14,McDonald's,Big Mac®
15,McDonald's,Triple Cheeseburger
16,McDonald's,Double Cheeseburger
17,McDonald's,Cheeseburger Deluxe
18,McDonald's,Cheeseburger with Egg
19,McDonald's,Cheeseburger
20,McDonald's,Beef Burger Deluxe
21,McDonald's,Beef Burger
22,McDonald's,Ayam McD Gulai
23,McDonald's,Korean Soy Garlic Wings 
24,McDonald's,Ayam Krispy McDonald's
25,McDonald's,Ayam Spicy McDonald's
26,McDonald's,Honey Garlic Chicken Rice McD
27,McDonald's,Rica-rica Chicken Rice McD
28,McDonald's,Chicken Burger Deluxe
29,McDonald's,Chicken Burger
30,McDonald's,McSpicy™
31,McDonald's,McChicken
32,McDonald's,McNuggets
33,McDonald's,Chicken Snack Wrap
34,McDonald's,Spicy Chicken Bites
35,McDonald's,Chicken Fingers
36,McDonald's,Fish Snack Wrap
37,McDonald's,Fish Fillet Burger
38,McDonald's,Honey Garlic Fish Rice McD
39,McDonald's,Rica-rica Fish Rice McD
40,McDonald's,Double Choco Pie
41,McDonald's,Double Choco Pie A la Mode Chocolate
42,McDonald's,Double Choco Pie A la Mode Strawberry
43,McDonald's,Hershey's McFlurry with Choco Balls
44,McDonald's,Hershey's McFlurry with Choco Crumbs
45,McDonald's,Apple Pie
46,McDonald's,McFlurry feat. Oreo
47,McDonald's,McFlurry Choco
48,McDonald's,Strawberry Sundae
49,McDonald's,Chocolate Sundae
50,McDonald's,Ice Cream Cone
51,McDonald's,Choco Top
52,McDonald's,Happy Meal Egg & Cheese Muffin
53,McDonald's,Happy Meal 4 pcs McNuggets
54,McDonald's,Happy Meal Chicken Burger
55,McDonald's,Happy Meal Ayam McD
56,McDonald's,Happy Meal Beef Burger
57,McDonald's,Affogato
58,McDonald's,Cheese Stick
59,McDonald's,Butter Croissant
60,McDonald's,Banana Muffin
61,McDonald's,Choco Chip Muffin
62,McDonald's,Cheese Croissant
63,McDonald's,Tuna Puff Pastry
64,McDonald's,Chicken Curry Puff
65,McDonald's,Choco Lover
66,McDonald's,Smoked Beef and Cheese Panini
67,McDonald's,Chicken Blackpepper Focaccia
68,McDonald's,Klepon Cake
69,McDonald's,Lemon Cake
70,McDonald's,French Fries
71,McDonald's,Sweet Corn
72,KFC,Sweet Spicy K-Chicken
73,KFC,Rendang Chicken
74,KFC,Don Series With Egg
75,KFC,Black Sesame Sweet Balls 2 Pcs
76,KFC,Black Sesame Sweet Balls 4 Pcs
77,KFC,Chicken
78,KFC,Crispy Strips
79,KFC,KFC Winger
80,KFC,Snack Bucket BBQ 1
81,KFC,Snack Bucket BBQ 2
82,KFC,Winger Bucket
83,KFC,Veggie Ball
84,KFC,Yakiniku Don
85,KFC,Crispy Burger
86,KFC,Oriental Don
87,KFC,Beijing Don
88,KFC,Spicy Chili Don Putih
89,KFC,Cream Soup
90,KFC,Alacarte Egg
91,KFC,Spaghetti deluxe
92,KFC,Pudding
93,KFC,KFC Soup
94,KFC,OR Burger Single
95,KFC,Fun Fries
96,KFC,OR Burger Double
97,KFC,Colonel Burger
98,KFC,Twisty
99,KFC,French Fries 
100,KFC,Perkedel
101,KFC,Cream Puff 
102,KFC,Fish Burger
103,KFC,Spaghetti Supreme
104,KFC,Colonel Yakiniku Rice
105,KFC,Donut
106,KFC,Pukis 
107,Pizza Hut,BEEF BBQ
108,Pizza Hut,CHEESY FRANK
109,Pizza Hut,MEATY
110,Pizza Hut,CREAMY CHICKEN
111,Pizza Hut,TASTY TUNA
112,Pizza Hut,CHEESY BEEF SPAGHETTI
113,Pizza Hut,MAC 'N CHEESE
114,Pizza Hut,CHICKEN FETTUCCINE ALLA ITALIA
115,Pizza Hut,RICE OMELETTE
116,Pizza Hut,CHICKEN DELIGHT
117,Pizza Hut,CHEESY DOUGH BALL
118,Pizza Hut,BEEF SAUSAGE BITES
119,Pizza Hut,CHICKEN STICKS
120,Pizza Hut,CHOCOCHIZ TOAST
121,Pizza Hut,POTATO WEDGES
122,Pizza Hut,SPLITZA
123,Pizza Hut,FRANKFURTER BBQ
124,Pizza Hut,CHEESEBURGER
125,Pizza Hut,MEAT MONSTA
126,Pizza Hut,SUPER SUPREME
127,Pizza Hut,MEAT LOVERS
128,Pizza Hut,PEPPERONI
129,Pizza Hut,AMERICAN FAVOURITE
130,Pizza Hut,TUNA MELT
131,Pizza Hut,CHEESE LOVERS
132,Pizza Hut,CHEESE OVERLOAD
133,Pizza Hut,VEGGIE GARDEN
134,Pizza Hut,CHOOSE YOUR CRUST!
135,Pizza Hut,BEEF ARABIATA
136,Pizza Hut,CLASSIC SALMON MENTAIKO
137,Pizza Hut,CREAMY TRUFFLE
138,Pizza Hut,CUMI CABE IJO
139,Pizza Hut,ORIENTAL CHICKEN SPAGHETTI
140,Pizza Hut,TUNA AGLIO OLIO
141,Pizza Hut,BLACK PEPPER CHICKEN FETTUCCINE
142,Pizza Hut,FLAMING HOT CHICKEN / PRAWN
143,Pizza Hut,CREAMY BEEF / CHICKEN CLASSIC FETTUCCINE
144,Pizza Hut,BEEF SPAGHETTI
145,Pizza Hut,BEEF LASAGNA
146,Pizza Hut,CHEESE-BEEF FUSILLI
147,Pizza Hut,ORIENTAL CHICKEN
148,Pizza Hut,MEATBALL BEEF MUSHROOM SAUCE
149,Pizza Hut,BLACK PEPPER CHICKEN
150,Pizza Hut,CHICKEN BITES
151,Pizza Hut,WINGSTREET
152,Pizza Hut,NEW ORLEANS CHICKEN WINGS
153,Pizza Hut,BAKED CHICKEN CHUNKS
154,Pizza Hut,SAUSAGE PASTRY ROLL
155,Pizza Hut,NACHO CHEESE
156,Pizza Hut,PUUF PASTRY MUSHROOM CREAM SOUP
157,Pizza Hut,GARLIC BREAD
158,Pizza Hut,CHICKEN ROYALE
159,Pizza Hut,DELUXE BEEF BRUSCHETTA
160,Pizza Hut,DELUXE CHICKEN BRUSCHETTA
161,Pizza Hut,GARLICHEESE BREAD
162,Pizza Hut,CHEESE ROLLS
163,Pizza Hut,CHOCO PUFF
164,Pizza Hut,POTATO WEDGES
165,Pizza Hut,CHEESE MARTABAK PIZZA
166,Pizza Hut,FRESH SALAD
167,PHD,BEEF BBQ
168,PHD,CHEESY FRANK
169,PHD,MEATY
170,PHD,CREAMY CHICKEN
